Date,volume_btc,trade_value_krw,KOSPI_Volatility,USD_KRW
2024-12-02,6826.131399260001,915193902064.2386,19.94,1403.96
2024-12-03,21300.86563468,2715365943119.5977,19.07,1414.47
2024-12-04,9417.21362963,1278810994848.5596,21.34,1411.13
2024-12-05,17081.31102154,2432638310286.8594,20.73,1413.28
2024-12-06,8926.0920909,1236282305437.079,22.0,1424.14
2024-12-09,7357.26736297,1023258304559.7751,23.45,1428.4
2024-12-10,7803.67477236,1080669309545.1228,21.62,1434.3
2024-12-11,7365.757842989999,1036195962578.111,20.6,1427.81
2024-12-12,5571.61838219,800148300852.0781,19.91,1430.67
2024-12-13,3395.40730617,487115828459.886,19.49,1434.03
2024-12-16,8752.59632314,1330350936366.0818,18.88,1436.81
2024-12-17,7922.31823448,1231289732563.2534,18.36,1437.39
2024-12-18,10525.09619783,1603036507657.9294,17.96,1452.7
2024-12-19,10847.69943325,1624442677537.8328,20.3,1444.52
2024-12-20,14863.2660917,2147485762053.587,21.45,1444.57
2024-12-23,5880.45707125,841680393536.0018,20.07,1451.28
2024-12-24,5643.14306214,818158602144.9685,20.02,1458.93
2024-12-26,4419.6737307700005,641161472828.2144,20.49,1467.08
2024-12-27,4021.75284539,578433846698.6965,20.88,1472.5
2024-12-30,4786.58876217,659829247076.917,21.14,1469.25
2024-12-31,4888.22788858,686617595509.7302,0.0,1476.78
2025-01-02,4021.11836164,575841977091.2561,20.7,1469.77
2025-01-03,3050.08436053,438919298597.654,20.31,1468.37
2025-01-06,4426.57521524,652931322565.6215,20.71,1461.08
2025-01-07,5374.05843771,789162460646.5403,20.24,1453.11
2025-01-08,5632.13041226,803354069666.1868,20.2,1458.48
2025-01-09,4674.26612307,655514933825.7069,19.9,1457.41
2025-01-10,4238.07071658,601595363265.8098,19.92,1473.08
2025-01-13,5296.45711947,741046632077.6428,20.49,1464.38
2025-01-14,3500.64124332,502115914726.764,19.25,1458.16
2025-01-15,4591.15545682,668904187818.3105,19.26,1454.54
2025-01-16,4318.11363256,629223986949.8276,18.14,1455.75
2025-01-17,6174.01716811,936077834985.3142,17.68,1456.03
2025-01-21,6582.39887933,1020007530622.751,18.3,1431.65
2025-01-22,3037.32579424,473473123139.0136,17.67,1435.12
2025-01-23,5833.03598432,907426870565.666,17.79,1434.3
2025-01-24,4191.46758051,657241809284.2372,17.96,1427.98
2025-01-27,6608.64540975,1019073912638.203,0.0,1432.84
2025-01-28,2562.8077865,398368030358.6917,0.0,1445.37
2025-01-29,2550.15208216,401127638389.5275,0.0,1441.66
2025-01-30,3213.97963755,513199590085.2702,0.0,1443.57
2025-01-31,2687.19505234,424534161061.3245,18.79,1455.7
2025-02-03,13181.94797542,2006167880962.523,22.08,1458.57
2025-02-04,5349.64812427,831426044791.5818,20.91,1452.53
2025-02-05,2802.74819284,429090541057.78,20.06,1443.76
2025-02-06,2504.3611256,381171085966.33215,19.12,1445.55
2025-02-07,3947.11012568,596568337529.7922,19.29,1453.44
2025-02-10,2108.89083902,310969072653.36646,19.95,1450.55
2025-02-11,2202.74578545,324173574687.04047,19.28,1450.86
2025-02-12,3282.07771638,477240363391.13367,18.8,1450.74
2025-02-13,2052.68415749,298884593388.92944,18.03,1439.33
2025-02-14,1987.41992877,290402765957.47284,17.7,1439.43
2025-02-18,2326.20941901,334152541849.1858,17.88,1440.71
2025-02-19,1779.46244,255058500682.85623,18.49,1439.0
2025-02-20,1352.45905881,195352984239.10144,18.64,1430.7
2025-02-21,2313.68518477,334191258459.9846,18.64,1433.0
2025-02-24,5811.5399783600005,794824764587.9202,19.48,1428.64
2025-02-25,12352.04412546,1589158945374.2195,19.6,1433.0
2025-02-26,6441.65087851,810954644786.7772,19.93,1433.2
2025-02-27,5733.200172299999,713528719924.0001,19.32,1450.48
2025-02-28,10503.49365309,1267096060925.9402,22.86,1461.28
2025-03-03,10962.1631609,1489473165204.757,0.0,1457.94
2025-03-04,8171.98898729,1035304573846.8336,23.47,1453.15
2025-03-05,5448.75796774,724656575147.6504,22.17,1445.0
2025-03-06,5096.328103,685939874213.061,21.27,1447.34
2025-03-07,7160.71829198,943769991439.498,21.97,1449.0
2025-03-10,7942.66864954,955416362673.179,22.13,1459.23
2025-03-11,7894.9823859,940727667401.2772,24.08,1451.08
2025-03-12,4537.31158911,555794258158.9229,23.08,1451.0
2025-03-13,3247.5130818400003,395380757483.0676,23.11,1453.23
2025-03-14,2847.3150466800003,350089537167.26697,22.0,1450.62
2025-03-17,1723.81147019,210473859891.90112,20.85,1442.95
2025-03-18,2262.18586259,273253084948.6133,20.41,1448.83
2025-03-19,2920.66531211,361794640659.3161,20.33,1460.7
2025-03-20,3070.59966763,387646644025.9181,19.6,1465.72
2025-03-21,1577.3891360500002,196133056460.8322,19.66,1463.32
2025-03-24,3118.42807415,402215917752.3283,19.68,1466.98
2025-03-25,2115.58982949,273014424342.8506,19.64,1462.98
2025-03-26,1866.5298384,240299891221.9996,19.67,1467.87
2025-03-27,1568.77154249,201829918878.575,20.44,1464.66
2025-03-28,2294.24250346,289321448652.7573,21.18,1469.87
2025-03-31,2037.98482376,250773038337.61816,25.35,1472.05
2025-04-01,2221.6336466,277559548071.0554,24.21,1469.94
2025-04-02,3433.49933601,433642116213.9689,24.5,1463.19
2025-04-03,3225.8106786,394260891952.6428,26.09,1450.57
2025-04-04,3350.55950586,410900777876.992,26.8,1458.51
2025-04-07,9718.2336043,1130889233803.407,44.23,1469.91
2025-04-08,3592.26146505,422306027480.7852,37.83,1485.83
2025-04-09,6477.31864245,758270286086.5723,40.97,1445.8
2025-04-10,3776.73419677,453177705124.857,28.2,1452.73
2025-04-11,3038.96232687,365003133510.42096,31.47,1419.53
2025-04-14,2334.67448058,287258812384.0564,28.32,1419.41
2025-04-15,2306.73678161,285403782776.14343,24.48,1426.63
2025-04-16,2051.34823211,250795422937.7179,26.62,1413.71
2025-04-17,1359.87505288,166057243086.5989,24.59,1417.42
2025-04-18,758.44009633,92930539450.753,23.66,1423.49
2025-04-21,3136.54109271,393819386952.6395,25.08,1421.63
2025-04-22,4253.73335714,552157859373.7986,24.85,1430.19
2025-04-23,4133.7864074,552151057741.3605,22.74,1427.42
2025-04-24,2405.2255391500003,321373601752.9608,22.79,1431.04
2025-04-25,2728.33317117,371925336384.3147,21.43,1438.36
2025-04-28,2359.5950708600003,321011477857.2316,21.23,1436.84
2025-04-29,1767.70168839,241773324350.85663,20.7,1432.14
2025-04-30,1836.91610515,249220095220.0019,20.74,1424.69
2025-05-01,2349.19260614,325666643575.72723,0.0,1436.09
2025-05-02,2126.62990467,295739052063.3954,20.93,1399.9
2025-05-05,1946.00606877,261007720441.27515,0.0,1375.36
2025-05-06,1518.20442367,204474872948.56155,0.0,1375.79
2025-05-07,1876.5507218,257763287434.3184,21.01,1398.38
2025-05-08,4101.15071248,577927533855.239,19.76,1404.82
2025-05-09,3514.26480261,507867410795.4813,19.48,1396.16
2025-05-12,3498.9260239,508218963387.13617,19.2,1417.03
2025-05-13,2383.97572813,346798488573.3802,17.86,1416.99
2025-05-14,1799.33120581,261707046434.95853,17.86,1408.31
2025-05-15,2362.89495204,342468961581.6943,18.29,1397.99
2025-05-16,1910.06301949,279520828213.33484,18.13,1399.13
2025-05-19,3482.19039874,514329508527.9557,19.69,1389.55
2025-05-20,2675.22553507,398720789605.2973,19.18,1393.72
2025-05-21,4096.65518235,618476595617.2085,19.48,1374.83
2025-05-22,4425.67022782,682081138516.2849,19.95,1382.23
2025-05-23,4344.61456763,661506342039.9531,19.59,1365.72
