Date,Hash Rate (TH/s)
2025-02-05,773848838.1413299
2025-02-06,779222788.4062003
2025-02-07,929693395.8225701
2025-02-08,859832042.3792553
2025-02-09,795293751.4100475
2025-02-10,788864727.616627
2025-02-11,703735440.4637535
2025-02-12,754813012.7554775
2025-02-13,896695158.0102665
2025-02-14,862643443.1491172
2025-02-15,908045729.6306497
2025-02-16,856968157.3389257
2025-02-17,777514155.996244
2025-02-18,794540013.4268184
2025-02-19,715086012.0841366
2025-02-20,737787155.324903
2025-02-21,732111869.5147113
2025-02-22,788864727.616627
2025-02-23,728533880.978175
2025-02-24,714530229.8374169
2025-02-25,807968798.3546175
2025-02-26,862932662.1882651
2025-02-27,824457957.5047117
2025-02-28,857436275.8049003
2025-03-01,791479639.2045234
2025-03-02,692544684.3039575
2025-03-03,824457957.5047117
2025-03-04,802472411.9712528
2025-03-05,736515775.3708757
2025-03-06,934385685.1720064
2025-03-07,780486866.4377937
2025-03-08,753004934.5209701
2025-03-09,878012411.8108668
2025-03-10,858547242.188255
2025-03-11,769347528.7141508
2025-03-12,852972260.0961236
2025-03-13,886422152.6489124
2025-03-14,791647457.0826768
2025-03-15,735897636.1613616
2025-03-16,808372403.3590714
2025-03-17,780497492.8984137
2025-03-18,791647457.0826768
2025-03-19,847397278.0039921
2025-03-20,791647457.0826768
2025-03-21,808372403.3590714
